School ID,Institution me,Median Graduate Debt,Number of Undergraduates
1,Alabama A & M University,33611.5,4051
2,University of Alabama at Birmingham,23117,11200
3,Amridge University,26995,322
4,University of Alabama in Huntsville,24738,5525
5,Alabama State University,33452,5354
6,The University of Alabama,24000,28692
8,Athens State University,18832,2999
9,Auburn University at Montgomery,21791,4322
10,Auburn University,22250,19761
11,Birmingham Southern College,27000,1181
13,Concordia College Alabama,26500,523
14,South University-Montgomery,27167,599
17,Faulkner University,23750,2358
23,Herzing University-Birmingham,22822,318
24,Huntingdon College,27000,1100
25,Heritage Christian University,,67
27,Jacksonville State University,23500,7195
31,Judson College,26000,331
33,University of West Alabama,22500,1988
36,Miles College,36569,1663
37,University of Mobile,27000,1472
38,University of Montevallo,23400,2610
40,University of North Alabama,21750,5536
42,Oakwood University,30500,1854
47,Samford University,23236,2995
48,Selma University,,447
51,University of South Alabama,25000,11048
52,Spring Hill College,27000,1269
53,Southeastern Bible College,30083,160
54,Stillman College,38359,863
55,Talladega College,32000,894
57,Troy University,26000,16208
58,Tuskegee University,33250,2584
59,United States Sports Academy,30095.5,80
61,University of Alaska Anchorage,20675,13116
62,Alaska Bible College,,26
63,University of Alaska Fairbanks,20000,5729
64,University of Alaska Southeast,19437.5,1488
65,Alaska Pacific University,25125,340
67,Charter College-Anchorage,13000,2191
70,Everest College-Phoenix,9500,2761
71,Collins College,42103,254
74,Thunderbird School of Global Magement,,2
75,American Indian College of the Assemblies of God Inc,,77
77,Carrington College-Phoenix,9500,676
80,College America-Flagstaff,25667.5,209
83,Brookline College-Phoenix,9500,828
84,Arizo State University-Tempe,20375,38480
86,University of Arizo,19000,31399
87,Southwest University of Visual Arts-Tucson,50437,216
90,Brown Mackie College-Tucson,21599,684
98,Embry-Riddle Aeroutical University-Prescott,26000,1802
99,Frank Lloyd Wright School of Architecture,,2
101,Grand Canyon University,18750,34643
102,Anthem College-Phoenix,14024,2238
107,ITT Technical Institute-Tucson,25833.5,409
108,ITT Technical Institute-Tempe,25833.5,498
111,Dine College,,1402
112,Northern Arizo University,21450,22011
114,Ottawa University-Phoenix,25000,335
117,University of Phoenix-Phoenix Campus,35500,3044
119,Pima Medical Institute-Tucson,9498,1726
121,Prescott College,25000,540
128,Arizo Christian University,22625,491
131,Western Intertiol University,33718.5,1369
134,University of Arkansas at Little Rock,23000,8504
135,University of Arkansas for Medical Sciences,12820,755
137,Arkansas Baptist College,38125,1022
140,Lyon College,25000,570
143,University of Arkansas,21524,20776
144,University of Arkansas at Pine Bluff,27954.5,2503
146,Arkansas State University-Main Campus,20959,9325
147,Arkansas Tech University,17528,8734
148,University of Arkansas at Monticello,15418.5,3024
152,University of Central Arkansas,21617,9261
153,Central Baptist College,20501,769
155,Crowley's Ridge College,13350,153
162,Harding University,26250,4428
163,Henderson State University,20191,3190
164,Hendrix College,24924,1428
167,John Brown University,22500,1770
178,Ouachita Baptist University,23500,1513
181,University of the Ozarks,24000,568
183,Philander Smith College,31000,554
193,Williams Baptist College,19000,501
195,Southern Arkansas University Main Campus,17216.5,2640
198,University of Arkansas-Fort Smith,17432,6508
199,Academy of Art University,34000,10300
200,ITT Technical Institute-Rancho Cordova,25833.5,510
201,Academy of Chinese Culture and Health Sciences,,
207,American Baptist Semiry of the West,,
208,American Film Institute Conservatory,,
211,American Conservatory Theater,,0
215,Art Center College of Design,36187,1742
218,Azusa Pacific University,25000,6543
222,Bethesda University of California,,259
223,Biola University,23969,4324
224,Brooks Institute,31000,492
226,Bryan University,20000,879
228,Phillips Graduate Institute,,
229,California Institute of Integral Studies,18750,75
231,California Baptist University,27686.5,5797
232,California College of the Arts,27000,1463
233,University of California-Hastings College of Law,,
234,California Institute of Technology,18348.5,977
235,California Lutheran University,23000,2882
236,California Polytechnic State University-San Luis Obispo,19500,18664
237,Alliant Intertiol University,2000,254
238,California State University-Bakersfield,16174.5,7226
239,California State University-Stanislaus,16500,7751
240,California State University-San Berrdino,18482,15887
241,California State Polytechnic University-Pomo,18001,20857
242,California State University-Chico,16500,15106
243,California State University-Dominguez Hills,17201.5,11894
244,California State University-Fresno,16500,19911
245,California State University-Fullerton,14718,33000
246,California State University-East Bay,16312,12079
247,California State University-Long Beach,15775,30440
248,California State University-Los Angeles,14125,19525
249,California State University-Northridge,15000,33581
250,California State University-Sacramento,17250,25991
251,University of California-Berkeley,14667,25951
252,University of California-Davis,15000,26483
253,University of California-Irvine,17414,23517
254,University of California-Los Angeles,15900,28667
255,University of California-Riverside,19500,18612
256,University of California-San Diego,19266,23792
257,University of California-San Francisco,,
258,University of California-Santa Barbara,18057,19362
259,University of California-Santa Cruz,19737.5,15695
260,Sofia University,,20
262,California Christian College,,30
263,California College San Diego,25903,762
266,California Institute of the Arts,29400,987
267,California Maritime Academy,26000,1044
268,California Western School of Law,,
284,Chapman University,20250,5940
285,Charles R Drew University of Medicine and Science,30000,83
286,Concordia University-Irvine,21500,1916
287,San Diego Christian College,20249,889
288,Church Divinity School of the Pacific,,
292,Claremont Graduate University,,
293,Claremont McKen College,14000,1311
297,Cogswell College,32875,457
298,Coleman University,29177,532
300,Western University of Health Sciences,,
302,Columbia College-Hollywood,31000,314
313,Dell'Arte Intertiol School of Physical Theatre,,14
315,Design Institute of San Diego,38087,181
317,Dominican University of California,27000,1567
318,Dominican School of Philosophy & Theology,,
325,Emperor's College of Traditiol Oriental Medicine,,
328,Fashion Institute of Design & Merchandising-Los Angeles,12000,3459
329,Fashion Institute of Design & Merchandising-San Francisco,12000,637
330,Fashion Institute of Design & Merchandising-Orange County,12000,214
333,Fielding Graduate University,,
334,Five Branches University,,
337,Franciscan School of Theology,,
340,Fresno Pacific University,19205,2496
341,Fuller Theological Semiry in California,,
347,Golden Gate University-San Francisco,28117.5,470
349,Graduate Theological Union,,
353,Harvey Mudd College,25696,803
360,Holy mes University,30750,800
361,Pacifica Graduate Institute,,
362,Humboldt State University,20250,7748
363,Humphreys College-Stockton and Modesto Campuses,29168,757
366,Interior Designers Institute,32000,293
369,ITT Technical Institute-tiol City,25833.5,1209
370,ITT Technical Institute-San Dimas,25833.5,534
371,ITT Technical Institute-Orange,25833.5,823
373,John F Kennedy University,25000,271
374,American Jewish University,23250,109
376,Life Pacific College,20600,475
377,The Art Institute of California-Argosy University San Diego,14323,1869
378,University of La Verne,25000,5128
379,Lagu College of Art and Design,29500,514
384,Life Chiropractic College West,,
385,Lincoln University,,97
386,Southern California Semiry,,68
387,La Sierra University,27000,2060
388,Loma Linda University,21875,1101
390,Southern California University of Health Sciences,,0
396,The Master's College and Semiry,20500,1112
401,The Art Institute of California-Argosy University San Francisco,14323,1304
402,Loyola Marymount University,22299.5,6087
415,Marymount California University,16000,1033
417,Menlo College,23250,742
420,Mills College,24500,974
428,Monterey Institute of Intertiol Studies,19500,22
432,Mount St Mary's College,25000,2617
435,Musicians Institute,,1166
444,The tiol Hispanic University,16950,434
446,tiol University,28410.5,9788
447,Newschool of Architecture and Design,43417,375
453,Notre Dame de mur University,27000,1209
454,Occidental College,21500,2101
458,Otis College of Art and Design,27000,1029
460,Hope Intertiol University,25949.5,872
462,Palo Alto University,,191
463,Pacific Lutheran Theological Semiry,,
464,Pacific Oaks College,19375,415
465,Pacific School of Religion,,
466,Pacific States University,,14
467,Pacific Union College,28334,1601
468,University of the Pacific,23500,3869
473,Pepperdine University,27000,3516
474,Pitzer College,15088,1081
475,Platt College-San Diego,22993.5,369
476,Point Loma zarene University,24951,2543
477,Pomo College,8600,1587
479,Westwood College-South Bay,38913,571
482,Pardee RAND Graduate School,,
484,University of Redlands,27000,3462
490,Argosy University-San Francisco Bay Area,14323,168
492,Dongguk University-Los Angeles,,9
495,Samuel Merritt University,18750,506
500,San Diego State University,16460,26625
501,University of San Diego,22500,5573
502,San Francisco Art Institute,24000,468
503,San Francisco Conservatory of Music,27000,172
504,San Francisco State University,17775,25271
505,San Francisco Theological Semiry,,
506,University of San Francisco,25000,6308
507,San Joaquin College of Law,,
511,William Jessup University,21500,1029
513,San Jose State University,16251,25723
516,Westwood College-Los Angeles,37655.5,661
519,Santa Clara University,20500,5404
522,Saybrook University,,
523,Scripps College,13487.5,980
526,Shasta Bible College and Graduate School,,45
531,Trinity Law School,28000.5,
532,Simpson University,16676,1024
537,Saint Mary's College of California,25000,3039
539,Sonoma State University,18750,8321
541,South Baylo University,12667,125
543,Vanguard University of Southern California,25000,2057
546,Starr King School for Ministry,,
547,Marshall B Ketchum University,,
548,Southern California Institute of Architecture,39500,237
549,University of Southern California,22841.5,18087
550,Southwestern Law School,,
552,Claremont School of Theology,,
553,Thomas Aquis College,15750,366
555,Epic Bible College,28661.5,263
564,Walden University,31876,8064
570,Westminster Theological Semiry in California,,
571,Westmont College,23250,1295
572,Whittier College,26000,1651
573,Woodbury University,31000,1353
574,The Wright Institute,,
575,Western State College of Law at Argosy University,14323,
576,Thomas Jefferson School of Law,,
577,Yeshiva Ohr Elchonon Chabad West Coast Talmudical Semiry,,131
580,Adams State University,,2227
585,University of Colorado Denver,22995,10470
586,University of Colorado Colorado Springs,21000,8888
588,University of Colorado Boulder,19500,25461
589,Colorado Christian University,25351,3614
590,Colorado College,18049.5,2025
592,The Art Institute of Colorado,28902,1794
593,Colorado Mountain College,11000,3559
595,Colorado School of Mines,26025,4197
